"code","area","task","requirement","acs_page","primary_references","lesson","card_or_question","exercise","status"
"UA.V.B.K6b","V","B","Chart Supplements as airport-data source","15","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","OPS-07","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K7","V","B","Bird and wildlife avoidance and collision reporting","15","AC 107-2; AIM; AC 150/5200-32","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","OPS-08","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K8","V","B","Airport and seaplane-base lighting","15","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","SUP-UA-V-B-K8","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.C.K1","V","C","Emergency planning and communication","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#10-emergency-and-abnormal-procedures","OPS-09","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K2","V","C","Lithium-battery characteristics and hazards","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","OPS-10","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K2a","V","C","Safe lithium-battery transport inspection and handling","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","OPS-10","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K2b","V","C","Safe lithium-battery charging","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","OPS-10","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K2c","V","C","Safe lithium-battery usage","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","OPS-10","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K2d","V","C","Lithium-battery fire risks","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#10-emergency-and-abnormal-procedures","OPS-10","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K3","V","C","Lost control link and flyaways","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#10-emergency-and-abnormal-procedures","OPS-001|OPS-11","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K4","V","C","GPS-signal loss and consequences","16","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#10-emergency-and-abnormal-procedures","OPS-12","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K5","V","C","Frequency spectrums and limitations","16","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#c-emergencies--uavc","SUP-UA-V-C-K5","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K6","V","C","Emergency procedures for operations over people","16","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#c-emergencies--uavc","SUP-UA-V-C-K6","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.C.K7","V","C","Emergency procedures for night operations","16","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#c-emergencies--uavc","SUP-UA-V-C-K7","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.D.K1","V","D","Aeronautical decision-making","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","OPS-13|OPS-17","EX-ADM-01","complete"
"UA.V.D.K1a","V","D","Effective team communication","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","SUP-UA-V-D-K1a","EX-ADM-01","complete"
"UA.V.D.K1b","V","D","Task management","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","SUP-UA-V-D-K1b","EX-ADM-01","complete"
"UA.V.D.K2","V","D","Crew Resource Management","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","OPS-14","EX-ADM-01","complete"
"UA.V.D.K3","V","D","Situational awareness","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","OPS-15","EX-ADM-01","complete"
"UA.V.D.K4","V","D","Hazardous attitudes","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","OPS-16","EX-ADM-01","complete"
"UA.V.D.K5","V","D","Hazard identification and risk assessment","17","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#d-decision-making-and-crm--uavd","OPS-17","EX-ADM-01","complete"
"UA.V.E.K1","V","E","Physiological factors including dehydration and heatstroke","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","OPS-18","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K2","V","E","Drug and alcohol use","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","SUP-UA-V-E-K2","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K3","V","E","Prescription and over-the-counter medication","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","OPS-19","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K4","V","E","Hyperventilation","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","SUP-UA-V-E-K4","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K5","V","E","Stress and fatigue","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","OPS-20","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K6","V","E","Factors affecting vision","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","OPS-21","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K7","V","E","Fitness for flight","18","AC 107-2; FAA-H-8083-2","docs/02-acs-study-guide.md#e-physiology--uave","OPS-20","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K8","V","E","Physiological aspects of night operation","18","AC 107-2; FAA-H-8083-2","docs/07-domain-knowledge-handbook.md#6-night-operations","OPS-21","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.E.K9","V","E","Night illusions","18","AC 107-2; FAA-H-8083-2","docs/07-domain-knowledge-handbook.md#6-night-operations","OPS-22","EX-NIGHT-01|EX-ADM-01","complete"
"UA.V.F.K1","V","F","Basic maintenance","19","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#f-maintenance-and-inspection--uavf","OPS-23","EX-NIGHT-01","complete"
"UA.V.F.K2","V","F","Preflight inspection","19","AC 107-2; FAA-H-8083-25","docs/04-field-operations.md#on-site-gono-go","OPS-24","EX-NIGHT-01","complete"
"UA.V.F.K3","V","F","Mitigation of mechanical failures across system elements","19","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#f-maintenance-and-inspection--uavf","OPS-25","EX-NIGHT-01","complete"
"UA.V.F.K4","V","F","Appropriate maintenance record keeping","19","AC 107-2; FAA-H-8083-25","templates/maintenance-battery-log.csv","OPS-26","EX-NIGHT-01","complete"
"UA.V.F.K5","V","F","Persons who may perform sUAS maintenance","19","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#f-maintenance-and-inspection--uavf","OPS-23","EX-NIGHT-01","complete"
"UA.V.F.K6","V","F","Night-operation preflight inspection","19","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#6-night-operations","SUP-UA-V-F-K6","EX-NIGHT-01","complete"
"UA.V.F.K7","V","F","Manufacturer Declaration of Compliance for Category 2 and 3","19","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-V-F-K7","EX-NIGHT-01","complete"
